# ID,label,width,depth,height,root_density,hull_area,shape_index,sum_eigen,omnivariance,eigenentropy,linearity,planarity,sphericity,curvature,n_points,elong_xy,elong_yz,elong_xz,volume,prof_x_0,prof_x_1,prof_x_2,prof_x_3,prof_x_4,prof_x_5,prof_y_0,prof_y_1,prof_y_2,prof_y_3,prof_y_4,prof_y_5,prof_z_0,prof_z_1,prof_z_2,prof_z_3,prof_z_4,prof_z_5
   0.00000,   0.00000,  20.74000, 500.01999,  19.73000,   0.00276,  46.98954,   1.64152,   0.59169,   0.07856,   0.66770,   0.70143,   0.28066,   0.01788,   0.01359,1809.00000,  24.10896,  25.34312,   1.05119,   0.00884,   0.08925,   0.09526,   0.09431,   0.09558,   0.09621,   0.10191,   0.20400,   0.21327,   0.22254,   0.21398,   0.21470,   0.22183,   0.00727,   0.01454,   0.04889,   0.60917,   0.37000,   0.14536
   1.00000,   0.00000, 379.54001, 410.07999,   8.47000,   0.00434,  53.22318,   1.86922,   0.44935,   0.08734,   0.72079,   0.22824,   0.71340,   0.05832,   0.03187,2076.00000,   1.08047,  48.41553,  44.80987,   0.00157,   0.04854,   0.07541,   0.10941,   0.11380,   0.11818,   0.10393,   0.15439,   0.16946,   0.20052,   0.18405,   0.14733,   0.12144,   0.07868,   0.11320,   0.02489,   0.36529,   0.59329,   0.49133
   2.00000,   0.00000,  66.67000, 327.67999,  15.57000,   0.00145, 239.90445,   4.01883,   0.44589,   0.11518,   0.76379,   0.36718,   0.47692,   0.15586,   0.08714,8952.00000,   4.91495,  21.04559,   4.28195,   0.02632,   0.05672,   0.06671,   0.06514,   0.06875,   0.06042,   0.03438,   0.05183,   0.05709,   0.06022,   0.07433,   0.07512,   0.05500,   0.01315,   0.06425,   0.10228,   0.15508,   0.33655,   0.12975
   3.00000,   0.00000, 124.73000, 407.91000,  16.47000,   0.00097, 265.78952,   4.28723,   0.80511,   0.20501,   0.87019,   0.59589,   0.24932,   0.15477,   0.09929,10279.00000,   3.27034,  24.76684,   7.57316,   0.01227,   0.02499,   0.05341,   0.05978,   0.05539,   0.05578,   0.03421,   0.03541,   0.06416,   0.06914,   0.07555,   0.08165,   0.03230,   0.00677,   0.08520,   0.21185,   0.05045,   0.31250,   0.18188
   4.00000,   0.00000, 132.56000, 235.60001,   9.75000,   0.00041, 332.97028,   4.87980,   0.42285,   0.07444,   0.69424,   0.19935,   0.75794,   0.04267,   0.02315,12125.00000,   1.77731,  24.16408,  13.59588,   0.03982,   0.01843,   0.04359,   0.05494,   0.05786,   0.05253,   0.02711,   0.01761,   0.05038,   0.07005,   0.06853,   0.04682,   0.01823,   0.00598,   0.01463,   0.21522,   0.44925,   0.36149,   0.10505
   5.00000,   0.00000, 214.16000, 435.54999,  13.58000,   0.00118, 102.33717,   2.63021,   0.48327,   0.08658,   0.73217,   0.13887,   0.81474,   0.04635,   0.02430,3384.00000,   2.03376,  32.07288,  15.77024,   0.00267,   0.08228,   0.13699,   0.13905,   0.13576,   0.13781,   0.06418,   0.07332,   0.07182,   0.08828,   0.07930,   0.08541,   0.02382,   0.02588,   0.05080,   0.17012,   0.60140,   0.50508,   0.26835
   6.00000,   0.00000, 490.37000, 434.10001,   8.33000,   0.00062,  85.87453,   2.36997,   0.51223,   0.08315,   0.69828,   0.58984,   0.37890,   0.03123,   0.02166,3236.00000,   1.12962,  52.11279,  58.86788,   0.00182,   0.09429,   0.10083,   0.10139,   0.10344,   0.10475,   0.09952,   0.10333,   0.11417,   0.11521,   0.11479,   0.11437,   0.11229,   0.27477,   0.68246,   0.68246,   0.69921,   0.71038,   0.56518
   7.00000,   0.00000, 183.36000, 458.14999,  17.41000,   0.00031, 365.96097,   4.82694,   0.53873,   0.16994,   0.89612,   0.33788,   0.22109,   0.44099,   0.20969,12870.00000,   2.49864,  26.31532,  10.53187,   0.00880,   0.06560,   0.07881,   0.07775,   0.06491,   0.04270,   0.03810,   0.04060,   0.04859,   0.04687,   0.03668,   0.02909,   0.02857,   0.27587,   0.42654,   0.53271,   0.34126,   0.01666,   0.00696
   8.00000,   0.00000, 279.13000, 362.57001,  11.57000,   0.00129, 227.85353,   3.97012,   0.53882,   0.15847,   0.86599,   0.34282,   0.37463,   0.28252,   0.14565,7729.00000,   1.29893,  31.33706,  24.12531,   0.00660,   0.04170,   0.05183,   0.08250,   0.09347,   0.09330,   0.06979,   0.03921,   0.04180,   0.05456,   0.06571,   0.06520,   0.04152,   0.02489,   0.04238,   0.18042,   0.51542,   0.27339,   0.00336
   9.00000,   0.00000, 322.06000, 453.79999,  14.16000,   0.00108, 180.44446,   3.25629,   0.78927,   0.19374,   0.82930,   0.71332,   0.13226,   0.15441,   0.10715,5565.00000,   1.40905,  32.04800,  22.74434,   0.00269,   0.12741,   0.13516,   0.12564,   0.11313,   0.07549,   0.03919,   0.03882,   0.05862,   0.05069,   0.05358,   0.05324,   0.05369,   0.01020,   0.09891,   0.04679,   0.05601,   0.60869,   0.08030
  10.00000,   0.00000, 274.89001, 401.91000,  13.56000,   0.00111, 192.89429,   3.51677,   0.41360,   0.11403,   0.76007,   0.10398,   0.67363,   0.22234,   0.10496,7181.00000,   1.46208,  29.63936,  20.27211,   0.00479,   0.06592,   0.08517,   0.08619,   0.08369,   0.08349,   0.08058,   0.06118,   0.06400,   0.06431,   0.06231,   0.06297,   0.05379,   0.00116,   0.12009,   0.50481,   0.52320,   0.50924,   0.01280
  11.00000,   0.00000,  65.41000, 411.35999,  18.11000,   0.00061, 277.18469,   4.48349,   0.58442,   0.15705,   0.85554,   0.37830,   0.43802,   0.18365,   0.10173,9795.00000,   6.28895,  22.71451,   3.61181,   0.02010,   0.04544,   0.05524,   0.08287,   0.08319,   0.05793,   0.02580,   0.03321,   0.04186,   0.06941,   0.06706,   0.04421,   0.04351,   0.12988,   0.04965,   0.06890,   0.37905,   0.26612,   0.00866
